iteration,chain,parameters[1],parameters[81],parameters[161],parameters[241],parameters[321]
6476,1,-1.0746541520386466,-0.22924074528783353,-1.1604146403244868,-0.8384184182093672,-0.4871637741568379
6477,1,-1.0667366818394144,-0.4904563748529026,-1.1429359323016124,-0.5534236359688098,-0.4548830162326495
6478,1,-1.119061960716681,-0.6112708907417469,-1.1385877389307788,-0.6303612639016001,-0.4737421945755578
6479,1,-1.3025841394362097,-0.4746527317898324,-1.2313665568280847,-0.5855386909582274,-0.4349624689229605
6480,1,-0.9753859775315531,-0.33959370019045737,-1.0942058532376815,-0.468037808531884,-0.45870853312175036
6481,1,-1.0670302420581221,-0.43778692688153004,-1.1266970475490259,-0.5296791118177553,-0.4906714228601814
6482,1,-1.0406370509595377,-0.10147136570516965,-1.0965738236569391,-0.48680094272597146,-0.49160199921384334
6483,1,-1.1604562258144062,-0.4199094813765352,-1.2467798976985944,-0.5712056255526393,-0.506150988780967
6484,1,-1.1053936709868126,-0.7649873940363101,-1.2207328171224325,-0.8872224577802468,-0.5164975102775147
6485,1,-1.1716202297184921,-0.6295373348000136,-1.1968056116508328,-1.1646001636360106,-0.5121216844830394
6486,1,-1.130881116565042,-0.6513614885036826,-1.204340042438078,-1.175720714167232,-0.5049631859773689
6487,1,-1.3691414607506187,-0.6272698868496241,-1.320847298313333,-1.45015290566647,-0.48211607547483226
6488,1,-1.1308768459344256,-0.6629393968451222,-1.293852660760246,-1.6815870776698072,-0.45787198236894533
6489,1,-1.3215292523707884,-0.6486326796559115,-1.3498330139967245,-1.6346386995012094,-0.4503731040777283
6490,1,-1.3411471876736751,-0.6162721405042236,-1.2648526324138811,-1.367623136907061,-0.4278567925174293
6491,1,-1.6157019064164602,-0.4332269651138383,-1.1332893230871617,-0.6650237343438968,-0.3854972482247304
6492,1,-1.0002615380056616,-0.12990277324698543,-1.2923565780007797,-0.5148349020630246,-0.3587800871579371
6493,1,-1.0334888536673503,-0.07654136637534673,-1.2381410355739633,-0.6382683059142409,-0.3969953527246437
6494,1,-1.0031369084744706,-0.12916628802428576,-1.2759982045412448,-0.6917095612312645,-0.4020228073356127
6495,1,-0.9952596123843224,-0.12549973675072817,-1.2728197898030291,-0.663552665462707,-0.4021227096334999
6496,1,-1.1564456535835221,-0.17233673283151713,-1.3855862913968495,-0.5549879341923076,-0.399236392881645
6497,1,-1.1442792738000913,-0.061068787514016856,-1.2950037485832628,-0.5886549972824908,-0.43702804869859974
6498,1,-1.2336992022726696,-0.0253322884846537,-1.5100945998323476,-0.9336071325534814,-0.47503584398162674
6499,1,-1.192917784922155,0.1220686647615195,-1.4036478839824,-0.9848363569429038,-0.4766451631133481
6500,1,-1.3855303163685315,0.1711456172779663,-1.4563533321501887,-1.1043369606323081,-0.5100033473673773
6501,1,-1.3255026733062714,0.026393408467350263,-1.4716432778079052,-0.9946133752805456,-0.4999654667154455
6502,1,-1.3950741992629696,0.18966978063054768,-1.5849411633621782,-1.0492213056548003,-0.5101541377233012
6503,1,-1.3678603008014958,0.13321659491440063,-1.4792091868908679,-1.16701289338564,-0.507365813830353
